"","Megachile_centuncularis","Megachile_rotundata","Trypoxylon_frigidum","Ancistrocerus_antilope","Osmia_pumila","Passaloecus_gracilis","Trypoxylon_collinum","Euodynerus_foraminatus","Hylaeus_annulatus","Megachile_campanulae","Megachile_pugnata","Osmia_caerulescens","Heriades_carinata","Hylaeus_affinis","Auplopus_mellipes","Megachile_relativa","Symmorphus_cristatus","Hylaeus_modestus","Psenulus_pallipes","Ancistrocerus_gazella","Isodontia_mexicana","Passaloecus_cuspidatus","Symmorphus_canadensis","Trypoxylon_lactitarse","Osmia_lignaria","Ancistrocerus_adiabatus","Euodynerus_planitarsis","Megachile_frigida","Hylaeus_verticalis","Hylaeus_mesillae","Hylaeus_hyalinatus","Hylaeus_leptocephalus","Megachile_mendica","Dipogon_sayi","Megachile_inermis","Heriades_variolosa","Osmia_atriventris","Anthidium_manicatum","Chelostoma_rapunculi","Hoplitis_producta","Passaloecus_monilicornis","Hoplitis_spoliata","Hoplitis_truncata","Monobia_quadridrens","Symmorphus_albomarginatus","Symmorphus_bifasciatus","Chelostoma_campanularum","Megachile_brevis","Anthophora_terminalis","Megachile_sculpturalis"
"0buhG",13,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0i6Rd",0,0,0,2,47,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1Gg23",0,0,0,0,131,0,0,41,9,10,145,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1wIAO",0,13,29,0,0,0,0,0,0,54,0,0,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1WsN2",0,8,0,0,0,0,44,0,13,0,0,0,0,0,9,21,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2DMIj",0,0,12,0,95,0,27,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2GiFE",33,391,0,0,0,6,0,0,0,0,0,175,0,0,0,0,0,0,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2IVbG",0,0,7,52,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2MKAc",0,0,25,0,2,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6FUNv",48,8,0,0,38,12,0,0,0,8,2,166,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
