"","site","sr","Habitat_type","longs","lats","mfd.obs","ses_mfd","p_value","perc_tree_500","perc_grass_500","perc_urb_500"
"1","0buhG",3,"Garden",-79.336427,43.684835,0.244152625313681,-1.38657068082689,0.102,21.3000086671525,17.6122499423336,61.0877413905139
"2","0i6Rd",4,"Garden",-79.307809,43.733075,0.32273427230047,-0.631193090145787,0.2172,33.0002155755638,22.9616871769233,43.8212832708776
"3","1Gg23",6,"Park",-79.495825,43.776218,0.384708364403027,-0.0493543650754768,0.3946,19.7845535408434,32.2946364002805,47.1523803802574
"4","1wIAO",5,"Garden",-79.4336,43.667507,0.328888809578343,-0.616956027345531,0.2282,12.423939067793,18.2249995758151,68.9858496514576
"5","1WsN2",6,"Community",-79.506704,43.68624,0.374838732335093,-0.16739750732333,0.3568,48.9004840417557,29.9009874000627,21.0355833433989
"6","2DMIj",5,"Garden",-79.554043,43.671485,0.340301525660594,-0.496346212412554,0.247,29.7801728130781,37.3902033456509,32.829623841271
"7","2GiFE",7,"Roof",-79.505036,43.773897,0.170822093451073,-2.06317063029548,0.0434,21.4606383353383,28.0337981490166,50.4851278135003
"8","2IVbG",7,"Park",-79.465138,43.642636,0.345253534060192,-0.420989195607094,0.2762,73.3723637592702,15.3172924015476,11.3103438391822
"9","2MKAc",4,"Garden",-79.507732,43.628431,0.128770734045102,-2.44989418990096,0.0242,17.8371147221009,36.9015603731981,44.8951251637236
"10","6FUNv",9,"Park",-79.36527,43.685403,0.256929120112003,-1.249267649762,0.114,51.1579289941106,26.9097680578071,21.9323029480823
"11","6JWfP",3,"Garden",-79.414219,43.681163,0.286984236617768,-0.992047529280305,0.1548,44.7546788248367,16.9624547073607,38.2828664678027
"12","6KpHa",7,"Park",-79.371881,43.728392,0.514448091153229,1.19187213398743,0.9106,77.5116760538854,13.916179339028,8.50916900771278
"13","7zNYj",6,"Garden",-79.437701,43.641064,0.429126542848051,0.340898422260679,0.5828,23.0953860404968,17.4205574904903,59.198088656442
"14","8J98D",4,"Community",-79.397843,43.711515,0.364293307422389,-0.273317217016069,0.3162,29.1643770142443,14.4699917159687,56.1921069603293
