ID,Type,Year,Family,Species,Taxa,No_broodcells,No_alive,No_dead_broodcells
GNZuC,Community,2011,Megachilidae,Heriades_carinata,Bee,5,4,1
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,2,2,0
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,13,13,0
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,15,15,0
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,15,15,0
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,16,16,0
GNZuC,Community,2011,Megachilidae,Osmia_caerulescens,Bee,16,16,0
GNZuC,Community,2011,Crabronidae,Trypoxylon_frigidum,Wasp,2,2,0
GNZuC,Community,2011,Crabronidae,Trypoxylon_frigidum,Wasp,3,3,0
GNZuC,Community,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,2,2
GNZuC,Community,2011,Crabronidae,Trypoxylon_frigidum,Wasp,7,6,1
GNZuC,Community,2011,Crabronidae,Trypoxylon_frigidum,Wasp,11,10,0
GNZuC,Community,2012,Megachilidae,Megachile_rotundata,Bee,2,2,0
GNZuC,Community,2012,Megachilidae,Osmia_caerulescens,Bee,2,2,0
GNZuC,Community,2012,Megachilidae,Osmia_caerulescens,Bee,3,3,0
GNZuC,Community,2012,Megachilidae,Osmia_caerulescens,Bee,7,7,0
GNZuC,Community,2012,Megachilidae,Osmia_caerulescens,Bee,12,12,0
GNZuC,Community,2012,Megachilidae,Osmia_caerulescens,Bee,14,14,0
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,2,1,0
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,3,2,1
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,2,1
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,2,1
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,3,0
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,3,1
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,5,5,0
twed3,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,6,2,0
twed3,Home,2012,Megachilidae,Heriades_carinata,Bee,5,5,0
twed3,Home,2012,Megachilidae,Heriades_carinata,Bee,6,6,0
twed3,Home,2012,Megachilidae,Heriades_carinata,Bee,10,10,0
twed3,Home,2012,Crabronidae,Trypoxylon_collinum,Wasp,11,11,0
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,2,2,0
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,4,4,0
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,7,7,0
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,9,7,2
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,11,9,2
twed3,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,16,16,0
twed3,Home,2013,Crabronidae,Trypoxylon_frigidum,Wasp,7,7,0
twed3,Home,2013,Crabronidae,Trypoxylon_frigidum,Wasp,11,11,0
CAgNl,Home,2011,Crabronidae,Trypoxylon_collinum,Wasp,7,7,0
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,2,1,1
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,3,2,1
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,5,5,0
CAgNl,Home,2012,Sphecidae,Isodontia_mexicana,Wasp,5,4,1
CAgNl,Home,2012,Vespidae,Symmorphus_cristatus,Wasp,5,5,0
CAgNl,Home,2012,Crabronidae,Trypoxylon_collinum,Wasp,5,5,0
CAgNl,Home,2012,Crabronidae,Trypoxylon_collinum,Wasp,6,6,0
CAgNl,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,7,7,0
CAgNl,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,10,10,0
CAgNl,Home,2013,Pompilidae,Auplopus_mellipes,Wasp,1,1,0
CAgNl,Home,2013,Pompilidae,Auplopus_mellipes,Wasp,1,1,0
CAgNl,Home,2013,Pompilidae,Auplopus_mellipes,Wasp,1,1,0
CAgNl,Home,2013,Pompilidae,Auplopus_mellipes,Wasp,6,5,1
UizNm,Home,2011,Megachilidae,Megachile_rotundata,Bee,1,0,1
UizNm,Home,2011,Megachilidae,Megachile_rotundata,Bee,1,0,1
UizNm,Home,2011,Crabronidae,Trypoxylon_collinum,Wasp,6,5,0
UizNm,Home,2012,Crabronidae,Trypoxylon_collinum,Wasp,9,8,0
UizNm,Home,2013,Crabronidae,Psenulus_pallipes,Wasp,6,6,0
UizNm,Home,2013,Crabronidae,Trypoxylon_collinum,Wasp,1,0,0
vDe7G,Home,2011,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
vDe7G,Home,2011,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
vDe7G,Home,2011,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
vDe7G,Home,2011,Sphecidae,Isodontia_mexicana,Wasp,3,3,0
vDe7G,Home,2011,Sphecidae,Isodontia_mexicana,Wasp,3,3,0
vDe7G,Home,2011,Megachilidae,Megachile_campanulae,Bee,3,3,0
vDe7G,Home,2011,Megachilidae,Megachile_campanulae,Bee,7,5,0
vDe7G,Home,2011,Megachilidae,Megachile_campanulae,Bee,10,10,0
vDe7G,Home,2011,Megachilidae,Osmia_pumila,Bee,7,7,0
vDe7G,Home,2011,Megachilidae,Osmia_pumila,Bee,16,14,2
vDe7G,Home,2011,Megachilidae,Osmia_pumila,Bee,16,16,0
vDe7G,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,0,4
vDe7G,Home,2011,Crabronidae,Trypoxylon_frigidum,Wasp,4,0,4
vDe7G,Home,2012,Crabronidae,Trypoxylon_collinum,Wasp,8,8,0
vDe7G,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,3,3,0
vDe7G,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,5,4,1
vDe7G,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,5,3,2
vDe7G,Home,2012,Crabronidae,Trypoxylon_frigidum,Wasp,6,6,0
vDe7G,Home,2013,Sphecidae,Isodontia_mexicana,Wasp,2,2,0
vDe7G,Home,2013,Sphecidae,Isodontia_mexicana,Wasp,3,3,0
