"","site","perc_tree_250","perc_grass_250","perc_earth_250","perc_build_250","perc_roads_250","perc_paved_250","perc_urb_250"
"1","GNZuC",31.1432617556527,31.4936291828551,0,12.5917650813916,15.6133631237366,9.15798085636403,37.3631090614922
"2","twed3",23.4176228056816,12.2013919598082,0,27.3375328218838,21.7728129294827,15.2706394831436,64.3809852345102
"3","CAgNl",46.9649936050861,18.3368397498196,0.487241982225869,16.5304685289065,10.9406775756805,6.73977855828147,34.2109246628685
"4","UizNm",10.7063521616867,17.4094245101834,0.321744537771965,31.0204658141843,26.3692944916381,14.1727184845355,71.5624787903579
"5","vDe7G",43.9067432982523,16.899612745107,0,19.8785953158852,12.3130912699796,7.00195737077592,39.1936439566407
"6","N0NrL",33.8026410493691,17.1721455955581,0,22.5581677169171,18.7690036575155,7.69804198064014,49.0252133550728
"7","TbUBp",19.3174832976441,15.2239611143834,0,28.7843841000545,20.6608279524315,16.0133435354864,65.4585555879725
"8","fn6iP",34.0083950055588,16.6515008640838,0.160525128144917,19.5583816131766,13.8708387300353,15.7503586590006,49.1795790022125
"9","oemYW",65.0560750749319,12.9172612911391,0,11.4276123427532,4.6929169678004,5.90613432337544,22.026663633929
"10","m1Tjg",15.3155252088122,21.1235592278213,0,33.7585097971591,18.256048812435,11.5463569537724,63.5609155633665
"11","TrRF4",40.4113805076187,26.6044613830877,0,15.0368956086485,10.962529394853,6.98473310579198,32.9841581092936
"12","6JWfP",66.9036639188193,11.4562123730175,0,14.06685083481,5.33592342714169,2.23734944621153,21.6401237081632
"13","uISKe",27.8140775416765,14.9440889880254,0.200677976050716,24.7323682202395,17.8269546841982,14.4818325898098,57.0411554942475
"14","FTl5s",33.1846354486708,15.7466290764284,0,25.0228824767002,18.3081824801853,7.73767051801525,51.0687354749008
"15","LqLKT",40.37336581375,21.5075144593496,0,21.8962155300661,8.65524838163511,7.56765581519915,38.1191197269004
"16","trOmx",36.4459135232701,8.8833818814155,0,27.7127616643799,15.0662919781937,11.8916509527408,54.6707045953144
"17","QiOKk",36.3933518107163,10.6458340594052,0,24.8641252010837,16.9332191184051,11.1634698103898,52.9608141298785
"18","Ci7F8",21.1198324543328,17.3956715871222,0,22.7683236220065,15.9518935401887,22.7642787963498,61.484495958545
"19","E3dsm",46.4173918037966,36.7414778438299,7.48111771632061,0.118223677282866,0.496347989240209,8.74544096952988,9.36001263605296
"20","nSPob",64.3377267596229,16.4144023827316,16.1263653274401,0,0,3.12150553020547,0
"21","eLGzd",29.1330378892378,15.2173275027148,0.431059783406216,29.177611305139,16.4430047251489,9.5979587943533,55.2185748246412
"22","D8Tvb",24.1514860802078,19.715165667264,0,33.5698392579046,13.6571165476494,8.90639244697419,56.1333482525282
"23","yjMQ9",13.8891691261306,18.9376583213035,0.402807916019319,30.2483798720773,20.9208819952566,15.6011027692127,66.7703646365466
"24","0i6Rd",31.952920182415,19.643761979247,0,18.7302181783467,16.0409919734455,13.6321076865458,48.403317838338
"25","zUUAk",11.3566202164092,16.9700882842264,0.00972172034095724,32.6792877830992,24.51029126641,14.4739907295142,71.6635697790235
"26","SVCEa",17.7181603231119,34.3037730120615,1.72964220326976,20.4261543981673,15.1890186120541,10.6332514513354,46.2484244615569
"27","bYWzV",19.7821146145366,39.1364562715881,0,20.0561681301809,13.7947606984513,7.23050028524312,41.0814291138753
"28","gbEGj",42.8897980150067,14.1317947494909,0,24.7337136986553,10.2898603900273,7.95483314681979,42.9784072355024
