"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"1","0buhG",3,0.244152625313681,0.390806668677193,0.105767448707378,510,-1.38657068082689,0.102,4999
"2","0i6Rd",4,0.32273427230047,0.389404976573728,0.105626479937952,1086,-0.631193090145787,0.2172,4999
"3","1Gg23",6,0.384708364403027,0.389944764072143,0.106098004930435,1973,-0.0493543650754768,0.3946,4999
"4","1wIAO",5,0.328888809578343,0.393483009512524,0.104698223327356,1141,-0.616956027345531,0.2282,4999
"5","1WsN2",6,0.374838732335093,0.392442236224203,0.105159892584952,1784,-0.16739750732333,0.3568,4999
"6","2DMIj",5,0.340301525660594,0.393003168612842,0.106179198378659,1235,-0.496346212412554,0.247,4999
"7","2GiFE",7,0.170822093451073,0.39042453603397,0.10643930238162,217,-2.06317063029548,0.0434,4999
"8","2IVbG",7,0.345253534060192,0.390100148838397,0.106526759465959,1381,-0.420989195607094,0.2762,4999
"9","2MKAc",4,0.128770734045102,0.39020931658471,0.1067142342789,121,-2.44989418990096,0.0242,4999
"10","6FUNv",9,0.256929120112003,0.390921645642699,0.10725686009417,570,-1.249267649762,0.114,4999
"11","6JWfP",3,0.286984236617768,0.392244505131803,0.106104057927948,774,-0.992047529280305,0.1548,4999
"12","6KpHa",7,0.514448091153229,0.387572862446327,0.106450369203984,4553,1.19187213398743,0.9106,4999
"13","7zNYj",6,0.429126542848051,0.39349277398471,0.104528993202828,2914,0.340898422260679,0.5828,4999
"14","8J98D",4,0.364293307422389,0.393131353335749,0.105511267194208,1581,-0.273317217016069,0.3162,4999
"15","98vV9",9,0.242650811443053,0.3949658396524,0.103450188812677,474,-1.47235137951417,0.0948,4999
"16","9PF5p",6,0.394995928697183,0.394110889106057,0.107308568163679,2120,0.00824761345968143,0.424,4999
"17","A3kcA",7,0.0755388032555902,0.394709118668221,0.10443659206052,53,-3.05611576474724,0.0106,4999
"18","a6qJm",11,0.548026294209668,0.39170357023736,0.106855766905005,4775,1.46293202978254,0.955,4999
"19","AcIS2",3,0.372474849094567,0.395713558248896,0.103948589856809,1665,-0.223559638339878,0.333,4999
"20","AZjsh",9,0.483148050648744,0.389361120618482,0.107312265734097,4081,0.873962816726396,0.8162,4999
"21","b1KH7",3,0.354717022355741,0.393502035659267,0.106102358943578,1431,-0.365543364819541,0.2862,4999
"22","B3wLW",3,0.284469814921274,0.391554290070676,0.106608033600803,749,-1.00446909611318,0.1498,4999
"23","BeXKd",8,0.282295265346186,0.390952748715624,0.103735047343686,719,-1.04745200539065,0.1438,4999
"24","BFBTl",2,0.310651344149631,0.393472313807543,0.104693508038163,949,-0.791080280046808,0.1898,4999
"25","BQDxR",7,0.386455490535257,0.392987598770752,0.106856209022968,2006,-0.0611298893646079,0.4012,4999
"26","BW4HD",5,0.155109331675349,0.389685633848182,0.109935534326071,194,-2.13376233272377,0.0388,4999
"27","CAgNl",5,0.305666699156879,0.393906471586168,0.106840758519399,884,-0.825899906104349,0.1768,4999
"28","cFdUw",3,0.263875499913059,0.395262448472252,0.107348817767039,562,-1.22392543571668,0.1124,4999
"29","Ci7F8",2,0.316556599472645,0.39387954930975,0.104980837554189,1024,-0.736543464869878,0.2048,4999
"30","D1rgw",6,0.285104775772014,0.39311582773535,0.106742080567224,723,-1.01188820181665,0.1446,4999
"31","D8Tvb",5,0.430656026103712,0.392827185641002,0.10562751950511,2927,0.358134325599499,0.5854,4999
"32","DQ8Sw",11,0.519083051792623,0.394876376006745,0.10665696931058,4512,1.16454345729809,0.9024,4999
"33","dqrON",10,0.476500212998216,0.393782313891701,0.103169188297317,3923,0.801769408790296,0.7846,4999
