"","site_id","ntaxa","mfd.obs","mfd.rand.mean","mfd.rand.sd","mfd.obs.rank","ses_mfd","p_value","runs"
"1","0buhG",3,0.275743023291791,0.409223826070551,0.111481209977881,637,-1.19733902067661,0.1274,4999
"2","0i6Rd",4,0.354816066770996,0.407963500240355,0.11255601882698,1291,-0.472186507867303,0.2582,4999
"3","1Gg23",6,0.338173167925506,0.408629962420636,0.112987132473338,1121,-0.623582464239944,0.2242,4999
"4","1wIAO",5,0.31660930161051,0.412543006042194,0.111413850367056,892,-0.86105725738432,0.1784,4999
"5","1WsN2",6,0.395928679277641,0.411261256132135,0.110697491023636,1808,-0.138508801895248,0.3616,4999
"6","2DMIj",5,0.334838349816421,0.412312488567551,0.1123052403237,1012,-0.689853283139986,0.2024,4999
"7","2GiFE",7,0.141124525680572,0.410089846817574,0.113627428059272,158,-2.3670809568681,0.0316,4999
"8","2IVbG",7,0.408902477614385,0.40953908129044,0.113000876999822,2023,-0.00563361712719478,0.4046,4999
"9","2MKAc",4,0.138455496685215,0.409088188386645,0.112936152736504,136,-2.39633354903504,0.0272,4999
"10","6FUNv",9,0.244280382648721,0.409330741029148,0.112548826461621,463,-1.46647782628555,0.0926,4999
"11","6JWfP",3,0.291449319183801,0.411061845713144,0.112179008347682,723,-1.06626478778117,0.1446,4999
"12","6KpHa",7,0.538925758483227,0.406612742609026,0.11223526885686,4573,1.17888981976733,0.9146,4999
"13","7zNYj",6,0.488835390464069,0.412637082492208,0.110544049523176,3673,0.689302665322438,0.7346,4999
"14","8J98D",4,0.345153475640463,0.411937901179323,0.111519326620635,1158,-0.598859655654544,0.2316,4999
"15","98vV9",9,0.216181474080933,0.4141878821127,0.10922496891054,320,-1.81283098550427,0.064,4999
"16","9PF5p",6,0.425827904929578,0.412550896864948,0.112441655429871,2301,0.118079087450919,0.4602,4999
"17","A3kcA",7,0.0804884774558126,0.413210471132497,0.110607376219967,63,-3.0081356691347,0.0126,4999
"18","a6qJm",11,0.593433189209687,0.409797380579648,0.112855904853794,4943,1.62717058418823,0.9886,4999
"19","AcIS2",3,0.33663313212609,0.414167504056065,0.110177856873978,1006,-0.703720095215315,0.2012,4999
"20","AZjsh",9,0.535622725729511,0.408288551469438,0.113012341819972,4504,1.12672803880938,0.9008,4999
"21","b1KH7",3,0.38287292731458,0.412540606380065,0.112166364529348,1592,-0.264497108290625,0.3184,4999
"22","B3wLW",3,0.318824454664495,0.410072927246414,0.112481139310748,915,-0.811233537827437,0.183,4999
"23","BeXKd",8,0.324699626203418,0.409186838055263,0.109488597020166,976,-0.771653068458659,0.1952,4999
"24","BFBTl",2,0.341155773207543,0.412410806876416,0.110463309422824,1109,-0.645056119006247,0.2218,4999
"25","BQDxR",7,0.399556886242655,0.412198792302034,0.112719634822915,1851,-0.112153539880069,0.3702,4999
"26","BW4HD",5,0.165516607417138,0.407324592586652,0.116140582730325,221,-2.08202834431255,0.0442,4999
"27","CAgNl",5,0.339432761505596,0.412154837853109,0.113242382887916,1075,-0.642180732098251,0.215,4999
"28","cFdUw",3,0.220805193299716,0.41347476806553,0.112800184245039,345,-1.70806081617093,0.069,4999
"29","Ci7F8",2,0.339017378149196,0.41223319267077,0.110895283490913,1110,-0.660224783388312,0.222,4999
"30","D1rgw",6,0.259215474344219,0.411497726470534,0.113093559469343,545,-1.3465156887877,0.109,4999
"31","D8Tvb",5,0.437040822240912,0.411289947359104,0.11208149811322,2542,0.22975134447075,0.5084,4999
"32","DQ8Sw",11,0.556794538449835,0.413422420233134,0.112417278610126,4749,1.27535659988647,0.9498,4999
"33","dqrON",10,0.469208853625851,0.412508238769855,0.109463046750262,3220,0.517988641275052,0.644,4999
"34","E3dsm",4,0.410705521756443,0.412344404497886,0.109255650858795,2030,-0.0150004391403211,0.406,4999
"35","e8Lju",3,0.360461267605634,0.412590679716896,0.112624682248396,1323,-0.462859571015615,0.2646,4999
"36","eLGzd",2,0.110331429719817,0.409976484590205,0.110643821754214,72,-2.70819509051327,0.0144,4999
"37","Enp7x",6,0.397624856240272,0.413847582410507,0.112799751794503,1837,-0.143818810876369,0.3674,4999
"38","ErRUg",4,0.346654061449565,0.412536293711028,0.11236717563871,1125,-0.58631207812228,0.225,4999
"39","eTUNR",8,0.425435275397209,0.410977639238408,0.112701320123442,2304,0.128282757850268,0.4608,4999
"40","fJPzr",7,0.584632500441427,0.410259923438138,0.110932115437711,4942,1.57188543926398,0.9884,4999
"41","fLwK1",6,0.328299366819334,0.408104814890888,0.113548409232988,1045,-0.702831934067902,0.209,4999
"42","fn6iP",6,0.451346945562668,0.411142007455307,0.110666339132211,2871,0.363298708736799,0.5742,4999
"43","fqMOZ",5,0.333847796985262,0.412570339522992,0.111949270584347,1038,-0.703198351599953,0.2076,4999
"44","FTl5s",11,0.407539215526763,0.414390170314852,0.111094307504043,1963,-0.0616679192841545,0.3926,4999
"45","gbEGj",7,0.465554984328992,0.41272576736006,0.110969305281693,3141,0.476070538919089,0.6282,4999
